Source,Target,Type,Id,Label,timeset,Weight
M124701,M124704,Undirected,200091,,,0.92226
M124710,M124706,Undirected,203565,,,0.663659
M23712,M124701,Undirected,206365,,,0.364706
M124710,M96718,Undirected,206507,,,0.479408
M96715,M96272,Undirected,208985,,,0.445585
M124699,M124708,Undirected,209915,,,0.52451
M124695,M124708,Undirected,210193,,,0.507407
M23712,M124707,Undirected,210496,,,0.334983
M96718,M124706,Undirected,213011,,,0.583624
M124695,M23699,Undirected,213303,,,0.35206
M124702,M124713,Undirected,214202,,,0.915729
M124695,M28331,Undirected,214650,,,0.332369
M124713,M124704,Undirected,214755,,,0.883065
M96718,M124708,Undirected,217206,,,0.558508
M28331,M124706,Undirected,217276,,,0.043919
M124713,M96718,Undirected,218405,,,0.492605
M96718,M23704,Undirected,223706,,,0.306225
M124699,M124707,Undirected,226865,,,0.545025
M96715,M125706,Undirected,227593,,,0.521514
M125706,M96272,Undirected,231302,,,0.911652
M23704,M124707,Undirected,231981,,,0.047527
M96272,M124707,Undirected,233444,,,0.670801
M23699,M96718,Undirected,234636,,,0.294484
M28331,M124708,Undirected,235802,,,0.047709
M124701,M124710,Undirected,238394,,,0.900084
M124695,M124710,Undirected,240925,,,0.429335
