Source,Target,Type,Id,Label,timeset,Weight
M28141,M124703,Undirected,157804,,,0.370026
M124720,M102886,Undirected,157863,,,0.069325
M124721,M23816,Undirected,161511,,,0.031862
M28135,M28141,Undirected,161926,,,0.947595
M124722,M124714,Undirected,163358,,,0.427044
M124720,M124723,Undirected,163449,,,0.548284
M39726,M124723,Undirected,165476,,,0.41774
M102886,M124714,Undirected,169092,,,0.976058
M96877,M28150,Undirected,170483,,,0.034715
M124703,M124715,Undirected,171296,,,0.414416
M96826,M124714,Undirected,172642,,,0.985781
M23821,M124721,Undirected,175130,,,0.045314
M39726,M96826,Undirected,180007,,,0.961719
M96826,M124712,Undirected,181798,,,0.974326
M28141,M28150,Undirected,183569,,,0.952645
M102887,M124721,Undirected,185373,,,0.212643
M124722,M96661,Undirected,186052,,,0.033193
M124712,M102886,Undirected,186443,,,0.979617
M23816,M124723,Undirected,186795,,,0.430163
M39726,M124722,Undirected,188905,,,0.439021
M124721,M124722,Undirected,189223,,,0.536929
M96826,M102886,Undirected,190171,,,0.962079
M39726,M124714,Undirected,192428,,,0.971216
M124720,M124714,Undirected,193255,,,0.012272
M96829,M124722,Undirected,195088,,,0.424194
M28141,M124705,Undirected,199297,,,0.430955
M124722,M28150,Undirected,201507,,,0.452857
M28135,M124714,Undirected,201969,,,0.97968
M28135,M124711,Undirected,202617,,,0.979359
M28135,M28150,Undirected,203642,,,0.975566
M124723,M102886,Undirected,204277,,,0.519512
M124705,M96826,Undirected,205193,,,0.466479
M39726,M28150,Undirected,206824,,,0.963397
M124722,M124715,Undirected,207771,,,0.43793
M124721,M124723,Undirected,209130,,,0.54205
M23816,M124714,Undirected,209395,,,0.984643
M23816,M102886,Undirected,209524,,,0.980526
M124723,M124715,Undirected,212267,,,0.429192
M124715,M124714,Undirected,212552,,,0.970602
M23821,M124723,Undirected,212879,,,0.475781
M124720,M124711,Undirected,216603,,,0.028777
M124723,M124714,Undirected,221929,,,0.418894
M28150,M124712,Undirected,222242,,,0.983733
M96829,M23816,Undirected,222800,,,0.982712
M124715,M124711,Undirected,223762,,,0.964235
M124721,M28150,Undirected,224232,,,0.03934
M23821,M28141,Undirected,227595,,,0.964555
M96877,M124712,Undirected,233186,,,0.011982
M23816,M124722,Undirected,235323,,,0.440407
M23821,M28135,Undirected,235588,,,0.980703
M28141,M124712,Undirected,237427,,,0.945187
M124705,M23816,Undirected,240262,,,0.463967
M23821,M28150,Undirected,242877,,,0.978877
M39726,M124711,Undirected,242908,,,0.971592
M124705,M96661,Undirected,243552,,,0.048247
M124703,M96826,Undirected,244559,,,0.388706
