Source,Target,Type,Id,Label,timeset,Weight
M109337,M1473,Undirected,148582,,,0.824947
M128717,M24922,Undirected,148706,,,0.381192
M129164,M124936,Undirected,148993,,,0.460991
M183022,M4751,Undirected,150075,,,0.26673
M4253,M195454,Undirected,150528,,,0.431061
M124936,M4253,Undirected,153151,,,0.594841
M28257,M4253,Undirected,153956,,,0.69218
M128717,M125002,Undirected,154935,,,0.163472
M117477,M1473,Undirected,154969,,,0.364762
M125107,M1473,Undirected,154981,,,0.698137
M129164,M5729,Undirected,158092,,,0.516211
M128717,M96670,Undirected,158665,,,0.333333
M125105,M130100,Undirected,159756,,,0.389646
M1473,M195454,Undirected,160753,,,0.380522
M5729,M97058,Undirected,161228,,,0.589057
M130100,M97058,Undirected,162218,,,0.934089
M24922,M4751,Undirected,162401,,,0.318695
M129164,M96670,Undirected,162870,,,0.675579
M117491,M109337,Undirected,163399,,,0.430681
M4253,M125002,Undirected,165227,,,0.599412
M129164,M183022,Undirected,165642,,,0.696594
M97058,M4751,Undirected,167016,,,0.272748
M24922,M96670,Undirected,169510,,,0.679153
M129164,M1473,Undirected,169573,,,0.681935
M117477,M109337,Undirected,171836,,,0.434231
M183022,M4253,Undirected,172539,,,0.837853
M129164,M117477,Undirected,173219,,,0.490139
M5729,M195454,Undirected,174831,,,0.157218
M125105,M97058,Undirected,175259,,,0.427497
M125105,M24922,Undirected,176367,,,0.394297
M117491,M1473,Undirected,177038,,,0.378633
M28257,M125107,Undirected,177728,,,0.686895
M128717,M1473,Undirected,178877,,,0.321857
M28257,M24922,Undirected,180314,,,0.808643
M5729,M96670,Undirected,181886,,,0.632657
M96648,M125107,Undirected,183690,,,0.461865
M130100,M96648,Undirected,183750,,,0.329969
M29579,M183022,Undirected,185335,,,0.49562
M124936,M125002,Undirected,185763,,,0.983651
M28257,M125002,Undirected,186563,,,0.484827
M5729,M4751,Undirected,186931,,,0.599285
M125107,M125002,Undirected,187105,,,0.657236
M125105,M1473,Undirected,187387,,,0.354157
M96648,M24922,Undirected,189075,,,0.348631
M130100,M195454,Undirected,189344,,,0.473945
M129164,M24922,Undirected,189972,,,0.81176
M125105,M124936,Undirected,191493,,,0.156538
M96670,M1473,Undirected,191948,,,0.877677
M117491,M96648,Undirected,193645,,,0.018287
M29579,M125002,Undirected,196811,,,0.97998
M28257,M5729,Undirected,197270,,,0.52865
M29579,M97058,Undirected,200371,,,0.52808
M117477,M125107,Undirected,203924,,,0.317223
M5729,M125107,Undirected,207100,,,0.694568
M128717,M28257,Undirected,207842,,,0.414523
M4751,M1473,Undirected,208270,,,0.371622
M117491,M125107,Undirected,209404,,,0.328872
M124973,M195454,Undirected,209940,,,0.196605
M130100,M124936,Undirected,210222,,,0.554633
M28257,M183022,Undirected,213015,,,0.706507
M117491,M97058,Undirected,213770,,,0.449624
M183022,M125002,Undirected,215092,,,0.499789
M5729,M1473,Undirected,215388,,,0.659987
M24922,M4253,Undirected,219943,,,0.693865
M29579,M4751,Undirected,220123,,,0.610956
M109337,M4253,Undirected,220124,,,0.857246
M96648,M4253,Undirected,220517,,,0.364556
M128717,M129164,Undirected,222822,,,0.436615
M125107,M97058,Undirected,225988,,,0.635147
M130100,M109337,Undirected,226407,,,0.959353
M96648,M29579,Undirected,229571,,,0.629989
M117477,M5729,Undirected,230499,,,0.205792
M29579,M24922,Undirected,230689,,,0.570011
M125105,M183022,Undirected,230946,,,0.420064
M128717,M109337,Undirected,232025,,,0.386291
M28257,M96670,Undirected,233795,,,0.685875
M117477,M125002,Undirected,235267,,,0.168043
M117491,M96670,Undirected,238590,,,0.39973
M125105,M195454,Undirected,238747,,,0.987275
M125107,M24922,Undirected,239800,,,0.755365
M1473,M4253,Undirected,241977,,,0.891092
M124936,M1473,Undirected,242235,,,0.626288
M29579,M195454,Undirected,242988,,,0.089025
M5729,M29579,Undirected,243951,,,0.896136
M4751,M125002,Undirected,244422,,,0.612424
M128717,M183022,Undirected,244449,,,0.365475
