Id,FullName,Country,GroupID
M28139,Carl SCHLYTER,Sweden,Verts/ALE
M4274,Olle SCHMIDT,Sweden,ALDE
M1930,Horst SCHNELLHARDT,Germany,PPE-DE
M1933,Elisabeth SCHROEDTER,Germany,Verts/ALE
M28252,Richard SEEBER,Austria,PPE-DE
M33990,Adrian SEVERIN,Romania,PSE
M1309,Brian SIMPSON,United Kingdom,PSE
M28380,Marek SIWIEC,Poland,PSE
M2081,Peter SKINNER,United Kingdom,PSE
M28299,Bogusław SONIK,Poland,PPE-DE
M997,Francesco Enrico SPERONI,Italy,UEN
M28170,Peter ŠŤASTNÝ,Slovakia,PPE-DE
M4546,Struan STEVENSON,United Kingdom,PPE-DE
M28320,Ivo STREJČEK,Czechia,PPE-DE
M2037,Robert STURDY,United Kingdom,PPE-DE
M23820,László SURJÁN,Hungary,PPE-DE
M36396,Gianluca SUSTA,Italy,ALDE
M2295,Hannes SWOBODA,Austria,PSE
M28358,Konrad SZYMAŃSKI,Poland,UEN
M23808,Csaba Sándor TABAJDI,Hungary,PSE
M1945,Salvatore TATARELLA,Italy,UEN
M28153,Britta THOMSEN,Denmark,PSE
M1129,Catherine TRAUTMANN,France,PSE
M28514,Kyriacos TRIANTAPHYLLIDES,Cyprus,GUE/NGL
M28221,Thomas ULMER,Germany,PPE-DE
M1956,Frank VANHECKE,Belgium,NonAttached
M28177,Bernadette VERGNAUD,France,PSE
M4308,Alejo VIDAL-QUADRAS,Spain,PPE-DE
M28323,Oldřich VLASÁK,Czechia,PPE-DE
M5737,Dominique VLASTO,France,PPE-DE
M4544,Diana WALLIS,United Kingdom,ALDE
M2155,Sir Graham WATSON,United Kingdom,ALDE
M2319,Henri WEBER,France,PSE
M1907,Barbara WEILER,Germany,PSE
M28227,Anja WEISGERBER,Germany,PPE-DE
M28130,Åsa WESTLUND,Sweden,PSE
M28167,Corien WORTMANN-KOOL,Netherlands,PPE-DE
M28278,Luis YÁÑEZ-BARNUEVO GARCÍA,Spain,PSE
M4466,Ilda FIGUEIREDO,Portugal,GUE/NGL
M1873,Íñigo MÉNDEZ DE VIGO,Spain,PPE-DE
M1992,José Manuel GARCÍA-MARGALLO Y MARFIL,Spain,PPE-DE
M4243,Dirk STERCKX,Belgium,ALDE
M28134,Eva-Britt SVENSSON,Sweden,GUE/NGL
M28576,Stavros LAMBRINIDIS,Greece,PSE
M28176,Jeanine HENNIS-PLASSCHAERT,Netherlands,ALDE
M4524,Caroline LUCAS,United Kingdom,Verts/ALE
M28133,Pál SCHMITT,Hungary,PPE-DE
M2315,Jean Louis COTTIGNY,France,PSE
M37524,Marusya LYUBCHEVA,Bulgaria,PSE
M28975,Vittorio AGNOLETTO,Italy,GUE/NGL
M28369,Giovanni BERLINGUER,Italy,PSE
M28618,Valdis DOMBROVSKIS,Latvia,PPE-DE
M28367,Gabriele ALBERTINI,Italy,PPE-DE
M28620,Georgs ANDREJEVS,Latvia,ALDE
