Id,FullName,Country,GroupID
M4482,Rodi KRATSA-TSAGAROPOULOU,Greece,PPE
M1935,Wolfgang KREISSL-DÖRFLER,Germany,S&D
M23746,Vytautas LANDSBERGIS,Lithuania,PPE
M2224,Klaus-Heiner LEHNE,Germany,PPE
M96675,Isabella LÖVIN,Sweden,Verts/ALE
M28246,Alexander Nuno PICKART ALVARO,Germany,ALDE
M96976,Luís Paulo ALVES,Portugal,S&D
M96954,Marta ANDREASEN,United Kingdom,ECR
M97193,Antonello ANTINORO,Italy,PPE
M96808,Pablo ARIAS ECHEVERRÍA,Spain,PPE
M97228,Pino ARLACCHI,Italy,S&D
M28114,Liam AYLWARD,Ireland,ALDE
M23813,Zoltán BAGÓ,Hungary,PPE
M96757,Raffaele BALDASSARRE,Italy,PPE
M96979,Francesca BALZANI,Italy,S&D
M97156,Luigi BERLINGUER,Italy,S&D
M28182,Kartika Tamara LIOTARD,Netherlands,GUE/NGL
M4529,Baroness Sarah LUDFORD,United Kingdom,ALDE
M96823,Petru Constantin LUHAN,Romania,PPE
M1186,Astrid LULLING,Luxembourg,PPE
M96959,George LYON,United Kingdom,ALDE
M2173,Arlene McCARTHY,United Kingdom,S&D
M1405,Edward MCMILLAN-SCOTT,United Kingdom,ALDE
M4560,Antonius MANDERS,Netherlands,ALDE
M96792,Bogdan Kazimierz MARCINKIEWICZ,Poland,PPE
M4238,Hans-Peter MARTIN,Austria,NonAttached
M4346,Miguel Angel MARTÍNEZ MARTÍNEZ,Spain,S&D
M28338,Antonio MASIP HIDALGO,Spain,S&D
M4462,Clemente MASTELLA,Italy,PPE
M4412,Véronique MATHIEU HOUILLON,France,PPE
M95017,Iosif MATULA,Romania,PPE
M4275,Hans-Peter MAYER,Germany,PPE
M28362,Jaime MAYOR OREJA,Spain,PPE
M96817,Erminia MAZZONI,Italy,PPE
M4348,Emilio MENÉNDEZ del VALLE,Spain,S&D
M96910,Judith A. MERKIES,Netherlands,S&D
M96652,Alajos MÉSZÁROS,Slovakia,PPE
M96800,Marek Henryk MIGALSKI,Poland,ECR
M97020,Guido MILANA,Italy,S&D
M96999,Alexander MIRSKY,Latvia,S&D
M28112,Gay MITCHELL,Ireland,PPE
M28255,Andreas MÖLZER,Austria,NonAttached
M96930,Vital MOREIRA,Portugal,S&D
M97280,Claudio MORGANTI,Italy,EFD
M96695,Radvilė MORKŪNAITĖ-MIKULĖNIENĖ,Lithuania,PPE
M96760,Tiziano MOTTI,Italy,PPE
M96701,María MUÑIZ DE URQUIZA,Spain,S&D
M1073,Cristiana MUSCARDINI,Italy,ECR
M28506,Mike NATTRASS,United Kingdom,NonAttached
M96653,Katarína ROTH NEVEĎALOVÁ,Slovakia,S&D
M1394,Bill NEWTON DUNN,United Kingdom,ALDE
M96861,Nadezhda NEYNSKY,Bulgaria,PPE
M39714,Rareș-Lucian NICULESCU,Romania,PPE
M96794,Sławomir NITRAS,Poland,PPE
M4328,Raimon OBIOLS,Spain,S&D
