Source,Target,Weight
M28266,M124821,0.849
M28266,M197742,0.76
M28266,M197577,0.862
M28266,M96991,0.759
M28266,M197498,0.75
M28266,M124696,0.811
M28266,M33982,0.482
M28266,M197641,0.753
M28266,M197835,0.562
M28266,M124766,0.882
M28266,M197419,0.876
M28266,M197638,0.76
M28266,M96787,0.52
M28266,M197463,0.866
M28266,M197429,0.545
M28266,M197497,0.748
M28266,M197645,0.641
M28266,M135511,0.861
M28266,M197721,0.763
M28266,M96885,0.84
M28266,M197546,0.646
M28266,M197682,0.738
M28266,M124802,0.532
M28266,M197504,0.853
M28266,M197818,0.801
M28266,M22858,0.865
M28266,M125045,0.747
M28266,M197435,0.754
M28266,M197402,0.499
M28266,M106936,0.643
M28266,M199996,0.751
M28266,M197531,0.62
M28266,M197523,0.745
M28266,M190519,0.714
M28266,M197401,0.801
M28266,M197778,0.551
M28266,M197432,0.737
M28266,M4560,0.55
M28266,M124747,0.747
M28266,M124934,0.639
M28266,M96668,0.614
M28266,M127096,0.758
M28266,M122978,0.761
M28266,M96922,0.827
M28266,M124799,0.74
M28266,M197506,0.621
M28266,M124929,0.473
M28266,M96772,0.535
M28266,M197503,0.615
M28266,M197668,0.862
M28266,M197722,0.763
M28266,M197510,0.521
M28266,M96756,0.537
M28266,M197841,0.522
M28266,M197507,0.76
M28266,M197448,0.641
M28266,M124808,0.534
M28266,M28122,0.522
M28266,M124693,0.802
M28266,M197444,0.738
M28266,M125004,0.51
M28266,M197462,0.642
M28266,M96808,0.507
M28266,M197452,0.868
M28266,M130100,0.876
M28266,M197635,0.75
M28266,M197502,0.866
M28266,M197838,0.757
M28266,M28347,0.768
M28266,M197589,0.856
M28266,M96998,0.737
M28266,M190713,0.48
M28266,M96952,0.703
M28266,M28400,0.496
M28266,M197525,0.541
M28266,M126644,0.859
M28266,M124739,0.754
M28266,M124700,0.838
M28266,M112744,0.754
M28266,M197808,0.739
M28266,M125038,0.862
M28266,M96779,0.616
M28266,M95074,0.557
M28266,M4344,0.884
M28266,M197670,0.731
M28266,M197782,0.763
M28266,M125043,0.757
M28266,M124866,0.838
M28266,M197495,0.724
M28266,M197738,0.56
M28266,M197500,0.616
M28266,M28294,0.546
M28266,M28617,0.536
M28266,M840,0.895
M28266,M96648,0.638
M28266,M197718,0.763
M28266,M197404,0.496
M28266,M197624,0.863
M28266,M96899,0.56
M28266,M197889,0.626
M28266,M2323,0.541
M28266,M197473,0.533
M28266,M24594,0.447
M28266,M103381,0.643
M28266,M197430,0.708
M28266,M2341,0.542
M28266,M197650,0.75
M28266,M112748,0.753
M28266,M197671,0.49
M28266,M197405,0.502
M28266,M197563,0.783
M28266,M197679,0.464
M28266,M28288,0.491
M28266,M4289,0.534
M28266,M197447,0.877
M28266,M125012,0.499
M28266,M197769,0.762
M28266,M197459,0.643
M28266,M197868,0.953
M28266,M197663,0.88
M28266,M125046,0.76
M28266,M125104,0.487
M28266,M197391,0.713
